laneId,source,destination,baseCost,distance,estimatedTime,emission,capacity,maxStops,allowedProducts

LN-DEL-CHE-01,Delhi,Chennai,7200,950,17.5,540,2000,2,GENERAL;ELECTRONICS
LN-DEL-CHE-02,Delhi,Chennai,6900,980,18.0,580,2500,4,ALL
LN-DEL-CHE-03,Delhi,Chennai,6600,1020,19.2,610,3000,6,ALL

LN-DEL-BLR-01,Delhi,Bangalore,6200,870,16.5,480,2000,3,ALL
LN-DEL-BLR-02,Delhi,Bangalore,5900,910,17.2,500,2400,4,ALL

LN-DEL-HYD-01,Delhi,Hyderabad,4800,720,13.2,390,1800,3,ALL
LN-DEL-HYD-02,Delhi,Hyderabad,4600,760,14.0,420,2200,4,ALL

LN-DEL-NGP-01,Delhi,Nagpur,3100,450,8.0,220,1500,2,ALL
LN-DEL-NGP-02,Delhi,Nagpur,2900,480,8.5,240,1800,3,ALL

LN-NGP-CHE-01,Nagpur,Chennai,4100,620,11.0,310,2000,3,ALL
LN-NGP-CHE-02,Nagpur,Chennai,3900,650,11.8,330,2300,4,ALL

LN-BLR-CHE-01,Bangalore,Chennai,1800,350,6.5,140,1800,2,ALL
LN-BLR-CHE-02,Bangalore,Chennai,1600,380,7.0,160,2200,3,ALL
LN-BLR-CHE-03,Bangalore,Chennai,1500,400,7.5,180,2500,4,ALL

LN-HYD-CHE-01,Hyderabad,Chennai,2200,410,7.5,180,2000,3,ALL
LN-HYD-CHE-02,Hyderabad,Chennai,2000,450,8.0,200,2400,4,ALL
LN-HYD-CHE-03,Hyderabad,Chennai,1900,480,8.5,220,2800,5,ALL

LN-PUN-HYD-01,Pune,Hyderabad,5500,780,14.0,420,2000,3,ALL
LN-PUN-HYD-02,Pune,Hyderabad,5200,820,15.0,450,2400,4,ALL

LN-MUM-CHE-01,Mumbai,Chennai,6100,1030,18.5,560,2500,4,ALL
LN-MUM-CHE-02,Mumbai,Chennai,5800,1080,19.5,590,2800,5,ALL

LN-HYD-BLR-01,Hyderabad,Bangalore,1700,310,5.5,120,2000,2,ALL
LN-HYD-BLR-02,Hyderabad,Bangalore,1600,340,6.0,140,2300,3,ALL

LN-NGP-BLR-01,Nagpur,Bangalore,3800,650,12.0,320,2200,3,ALL
LN-NGP-BLR-02,Nagpur,Bangalore,3600,700,12.8,350,2600,4,ALL

